;Name;Platform;Year_of_Release;Genre;Publisher;NA_players;EU_players;JP_players;Other_players;Global_players;Critic_Score;Critic_Count;User_Score;User_Count;Developer;Rating;console;alcohol_reference;animated_blood;blood;blood_and_gore;cartoon_violence;crude_humor;drug_reference;fantasy_violence;intense_violence;language;lyrics;mature_humor;mild_blood;mild_cartoon_violence;mild_fantasy_violence;mild_language;mild_lyrics;mild_suggestive_themes;mild_violence;no_descriptors;nudity;partial_nudity;sexual_content;sexual_themes;simulated_gambling;strong_janguage;strong_sexual_content;suggestive_themes;use_of_alcohol;use_of_drugs_and_alcohol;violence;esrb_rating
367;Darksiders;X360;2010;Action;THQ;0.67;0.28;0.01;0.1;1.06;83.0;81.0;7.9;292.0;Vigil Games;M;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;T
368;LEGO Marvel Super Heroes;X360;2013;Action;Warner Bros. Interactive Entertainment;1.24;0.79;0.0;0.19;2.22;80.0;37.0;7.6;127.0;TT Games;E10+;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ET
369;DiRT;PS3;2007;Racing;Codemasters;0.16;0.66;0.0;0.23;1.05;83.0;32.0;8.0;32.0;Codemasters;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;E
371;The Simpsons: Road Rage;PS2;2001;Racing;Electronic Arts;2.02;1.17;0.0;0.42;3.61;64.0;23.0;7.7;32.0;Fox Interactive;T;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
372;EA Sports UFC;PS4;2014;Sports;Electronic Arts;0.46;0.41;0.01;0.17;1.05;70.0;57.0;6.1;279.0;EA Sports;T;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;T
376;The Simpsons Game;PS2;2007;Action;Electronic Arts;0.35;0.03;0.0;1.13;1.51;68.0;10.0;8.2;27.0;Electronic Arts;T;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
377;Brink;X360;2011;Shooter;Bethesda Softworks;0.59;0.35;0.01;0.09;1.03;68.0;85.0;5.8;404.0;Splash Damage;T;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;E
379;Tomb Raider;PS;1996;Action;Eidos Interactive;2.29;1.97;0.13;0.24;4.63;91.0;13.0;8.6;147.0;Core Design Ltd.;T;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;M
380;Street Fighter Alpha 3;PS;1998;Fighting;Virgin Interactive;0.38;0.12;0.51;0.02;1.03;93.0;12.0;8.5;46.0;Capcom;T;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;M
381;Sonic Unleashed;Wii;2008;Platform;Sega;1.26;0.67;0.02;0.21;2.16;66.0;30.0;7.3;136.0;Sonic Team;E10+;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
382;Sonic Generations;PS3;2011;Platform;Sega;0.6;0.69;0.02;0.26;1.58;76.0;38.0;8.2;253.0;Sega;E;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
383;Harry Potter and the Prisoner of Azkaban;PS2;2004;Action;Electronic Arts;0.5;0.39;0.0;0.13;1.02;70.0;29.0;8.7;29.0;EA Games;E;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;M
385;The Simpsons Game;PS2;2007;Action;Electronic Arts;0.35;0.03;0.0;1.13;1.51;68.0;10.0;8.2;27.0;Electronic Arts;T;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
386;Assassin's Creed: Rogue;PS3;2014;Action;Ubisoft;0.46;0.56;0.06;0.2;1.29;72.0;53.0;7.5;292.0;Ubisoft Sofia;M;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;M
387;Prince of Persia;PS3;2008;Action;Ubisoft;0.47;0.4;0.03;0.17;1.07;85.0;59.0;7.3;245.0;Ubisoft Montreal;T;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;T
388;God of War: Ghost of Sparta;PSP;2010;Action;Sony Computer Entertainment;0.41;0.35;0.03;0.21;1.0;86.0;73.0;8.4;255.0;Ready at Dawn;M;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;M
389;NFL Fever 2002;XB;2000;Sports;Microsoft Game Studios;0.74;0.21;0.0;0.04;0.99;79.0;24.0;8.5;10.0;Microsoft Game Studios;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
391;Apollo Justice: Ace Attorney;DS;2007;Adventure;Capcom;0.28;0.04;0.64;0.03;0.99;78.0;48.0;8.1;84.0;Capcom;T;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;T
392;Dark Souls;PS3;2011;Role-Playing;Namco Bandai Games;0.75;0.51;0.54;0.22;2.02;89.0;54.0;8.7;1397.0;From Software;M;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;M
394;NHL 2004;PS2;2003;Sports;Electronic Arts;0.47;0.37;0.0;0.12;0.97;85.0;19.0;7.6;53.0;EA Sports;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;ET
395;Grand Theft Auto: Vice City Stories;PSP;2006;Action;Take-Two Interactive;1.7;1.99;0.16;1.18;5.03;86.0;50.0;8.0;150.0;Rockstar Leeds;M;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;M
397;Mass Effect 3;X360;2012;Role-Playing;Electronic Arts;1.94;0.84;0.03;0.24;3.04;93.0;74.0;5.8;3725.0;BioWare;M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
398;Cars;PS2;2006;Racing;THQ;1.01;0.04;0.0;0.16;1.21;71.0;30.0;8.4;12.0;Rainbow Studios;E;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
400;Far Cry 3;PS3;2012;Shooter;Ubisoft;0.88;1.7;0.1;0.67;3.35;90.0;32.0;8.5;1041.0;Ubisoft Montreal;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;M
401;Evolve;PS4;2015;Shooter;Take-Two Interactive;0.36;0.41;0.05;0.15;0.96;76.0;46.0;4.3;894.0;Turtle Rock Studios;M;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ET
403;NHL 2001;PS2;2000;Sports;Electronic Arts;0.47;0.37;0.0;0.12;0.96;85.0;22.0;8.1;9.0;EA Sports;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;ET
404;de Blob;Wii;2008;Platform;THQ;0.49;0.37;0.0;0.1;0.96;82.0;48.0;8.6;73.0;Blue Tongue Entertainment;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ET
405;Shinobi;PS2;2002;Platform;Sony Computer Entertainment;0.36;0.28;0.22;0.09;0.96;71.0;33.0;7.9;43.0;Overworks;M;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;T
406;Sniper Elite V2;PS3;2012;Shooter;505 Games;0.38;0.38;0.06;0.14;0.96;70.0;21.0;6.9;92.0;Rebellion;M;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
408;Sonic Unleashed;Wii;2008;Platform;Sega;1.26;0.67;0.02;0.21;2.16;66.0;30.0;7.3;136.0;Sonic Team;E10+;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
409;SpongeBob SquarePants: Battle for Bikini Bottom;PS2;2003;Platform;THQ;1.08;0.45;0.0;0.14;1.67;71.0;9.0;9.0;85.0;Heavy Iron Studios;E;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ET
415;Prince of Persia: The Sands of Time;PS2;2003;Action;Ubisoft;0.88;1.03;0.0;0.31;2.22;92.0;44.0;8.8;204.0;Ubisoft;T;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;T
416;NHL 2003;PS2;2002;Sports;Electronic Arts;0.46;0.36;0.0;0.12;0.93;79.0;20.0;6.8;18.0;EA Sports;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;ET
417;Spider-Man;PS;2000;Action;Activision;1.7;1.25;0.02;0.16;3.13;87.0;19.0;9.0;107.0;Neversoft Entertainment;E;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;T
418;Bayonetta;PS3;2009;Action;Sega;0.44;0.39;0.21;0.16;1.21;87.0;54.0;7.7;355.0;Nex Entertainment;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;M
419;Cars;PS2;2006;Racing;THQ;1.01;0.04;0.0;0.16;1.21;71.0;30.0;8.4;12.0;Rainbow Studios;E;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
420;Assassin's Creed III;PS3;2012;Action;Ubisoft;2.64;2.52;0.16;1.12;6.45;85.0;41.0;6.9;1307.0;Ubisoft;M;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;M
421;Borderlands 2;X360;2012;Shooter;Take-Two Interactive;1.89;0.88;0.04;0.25;3.05;89.0;59.0;8.2;892.0;Gearbox Software;M;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;M
422;Cars;PS2;2006;Racing;THQ;1.01;0.04;0.0;0.16;1.21;71.0;30.0;8.4;12.0;Rainbow Studios;E;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
423;Phoenix Wright: Ace Attorney;DS;2005;Adventure;Capcom;0.44;0.05;0.39;0.05;0.92;81.0;53.0;9.2;203.0;Capcom;T;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;T
424;South Park: The Stick of Truth;PS3;2014;Role-Playing;Ubisoft;0.43;0.34;0.0;0.16;0.92;85.0;31.0;8.5;575.0;Obsidian Entertainment;M;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;M
425;South Park: The Stick of Truth;PS3;2014;Role-Playing;Ubisoft;0.43;0.34;0.0;0.16;0.92;85.0;31.0;8.5;575.0;Obsidian Entertainment;M;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;M
426;Dante's Inferno;PS3;2010;Action;Electronic Arts;0.64;0.28;0.04;0.13;1.08;75.0;69.0;7.5;265.0;Visceral Games;M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
427;Sonic Riders;GC;2006;Racing;Sega;0.71;0.18;0.0;0.03;0.92;59.0;32.0;8.0;46.0;Sonic Team;E;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
428;Assassin's Creed;X360;2007;Adventure;Ubisoft;3.28;1.64;0.07;0.56;5.54;81.0;77.0;7.7;1074.0;Ubisoft Montreal;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;M
429;Sonic Riders: Zero Gravity;Wii;2008;Racing;Sega;0.48;0.32;0.02;0.09;0.91;56.0;26.0;8.1;57.0;Sonic Team;E;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
430;Sonic Mega Collection Plus;PS2;2004;Misc;Sega;1.54;1.14;0.0;0.22;2.9;73.0;21.0;8.6;30.0;Sonic Team;E;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
431;Street Fighter V;PS4;2016;Fighting;Capcom;0.4;0.28;0.08;0.14;0.9;77.0;80.0;3.4;1221.0;Capcom;T;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;T
432;Homefront;X360;2011;Shooter;THQ;0.83;0.48;0.02;0.12;1.45;70.0;85.0;6.0;399.0;Kaos Studios;M;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;T
434;Sonic Heroes;PS2;2003;Platform;Sega;1.04;1.37;0.06;0.49;2.96;64.0;29.0;7.8;94.0;Sonic Team;E;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
435;LEGO Marvel Super Heroes;X360;2013;Action;Warner Bros. Interactive Entertainment;1.24;0.79;0.0;0.19;2.22;80.0;37.0;7.6;127.0;TT Games;E10+;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ET
436;NBA Live 2005;PS2;2004;Sports;Electronic Arts;2.03;0.21;0.0;0.35;2.59;84.0;21.0;8.1;44.0;EA Canada;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
437;Pure;X360;2008;Racing;Disney Interactive Studios;1.38;0.84;0.0;0.25;2.47;85.0;55.0;7.7;83.0;Black Rock Studio;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;E
439;The Simpsons Game;PS2;2007;Action;Electronic Arts;0.35;0.03;0.0;1.13;1.51;68.0;10.0;8.2;27.0;Electronic Arts;T;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
440;Call of Duty: Modern Warfare 2;X360;2009;Shooter;Activision;8.52;3.59;0.08;1.28;13.47;94.0;100.0;6.3;2698.0;Infinity Ward;M;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;M
442;Sonic Chronicles: The Dark Brotherhood;DS;2008;Role-Playing;Sega;0.5;0.29;0.01;0.08;0.88;74.0;55.0;7.3;81.0;BioWare;E;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
443;Crimson Skies: High Road to Revenge;XB;2003;Simulation;Microsoft Game Studios;0.65;0.19;0.0;0.03;0.87;88.0;49.0;8.8;45.0;FASA Studio;T;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
445;Michael Jackson: The Experience;Wii;2010;Misc;Ubisoft;2.64;1.33;0.01;0.39;4.36;56.0;37.0;8.3;31.0;Ubisoft Paris, Ubisoft Montpellier;E10+;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
447;GRID;PS3;2008;Racing;Codemasters;0.31;0.56;0.03;0.2;1.1;87.0;39.0;8.1;109.0;Codemasters;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;T
448;DiRT;PS3;2007;Racing;Codemasters;0.16;0.66;0.0;0.23;1.05;83.0;32.0;8.0;32.0;Codemasters;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;E
449;Red Faction: Guerrilla;X360;2009;Shooter;THQ;0.48;0.29;0.01;0.09;0.87;85.0;84.0;8.1;237.0;Volition Inc.;M;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
450;Warriors Orochi;PS2;2007;Action;Tecmo Koei;0.11;0.09;0.64;0.03;0.87;55.0;14.0;8.2;16.0;Omega Force;T;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;T
451;Ghostbusters: The Video Game;Wii;2009;Action;Atari;0.59;0.2;0.0;0.07;0.86;76.0;29.0;8.5;28.0;Red Fly Studio;E10+;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;T
454;Ghostbusters: The Video Game;Wii;2009;Action;Atari;0.59;0.2;0.0;0.07;0.86;76.0;29.0;8.5;28.0;Red Fly Studio;E10+;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;T
455;The Incredibles;PS2;2004;Action;THQ;0.96;1.08;0.04;0.3;2.37;62.0;36.0;7.6;22.0;Heavy Iron Studios;T;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ET
458;The Evil Within;PS4;2014;Action;Bethesda Softworks;0.55;0.86;0.11;0.27;1.79;75.0;65.0;7.3;1223.0;Tango Gameworks;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;M
459;Harry Potter and the Order of the Phoenix;DS;2007;Action;Electronic Arts;0.28;0.46;0.0;0.1;0.84;51.0;15.0;4.9;19.0;Visual Impact;E;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;M
460;Sniper Elite V2;PS3;2012;Shooter;505 Games;0.38;0.38;0.06;0.14;0.96;70.0;21.0;6.9;92.0;Rebellion;M;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
465;Call of Duty: Modern Warfare 3;X360;2011;Shooter;Activision;9.04;4.24;0.13;1.32;14.73;88.0;81.0;3.4;8713.0;Infinity Ward, Sledgehammer Games;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;M
467;Shin Megami Tensei: Persona 4;PS2;2008;Role-Playing;Atlus;0.34;0.04;0.36;0.08;0.82;90.0;47.0;8.9;634.0;Atlus Co.;M;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
468;Devil May Cry HD Collection;PS3;2012;Action;Capcom;0.42;0.19;0.11;0.09;0.82;74.0;27.0;8.8;158.0;Capcom, Pipeworks Software, Inc.;M;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;M
470;Tales of Destiny II;PS;2000;Role-Playing;Namco Bandai Games;0.06;0.04;0.66;0.05;0.81;78.0;9.0;8.7;31.0;Namco;T;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;T
471;MediEvil: Resurrection;PSP;2005;Adventure;Sony Computer Entertainment;0.19;0.41;0.0;0.22;0.81;66.0;43.0;8.7;52.0;SCEE;T;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;T
474;Yakuza;PS2;2005;Action;Sega;0.03;0.02;0.74;0.01;0.8;75.0;58.0;8.2;73.0;Amusement Vision;M;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;M
475;Professor Layton vs Phoenix Wright: Ace Attorney;3DS;2012;Puzzle;Level 5;0.2;0.26;0.3;0.04;0.8;79.0;69.0;8.5;99.0;Level 5;T;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;T
479;Harvest Moon: A Wonderful Life;GC;2003;Role-Playing;Ubisoft;0.61;0.16;0.0;0.02;0.79;79.0;28.0;8.9;148.0;Marvelous;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
481;Star Ocean: The Last Hope;X360;2009;Role-Playing;Square Enix;0.32;0.2;0.21;0.06;0.79;72.0;56.0;7.2;150.0;Square Enix, Tri-Ace;T;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;T
482;Sniper: Ghost Warrior;X360;2010;Shooter;City Interactive;0.54;0.5;0.0;0.12;1.16;45.0;39.0;5.8;89.0;City Interactive;M;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;M
484;Drawn to Life;DS;2007;Action;THQ;0.71;0.01;0.0;0.06;0.78;73.0;34.0;8.2;30.0;5TH Cell;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
487;Lips;X360;2008;Misc;Microsoft Game Studios;0.12;0.56;0.0;0.1;0.77;71.0;43.0;7.4;34.0;iNiS;T;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;T
488;Perfect Dark Zero;X360;2005;Shooter;Microsoft Game Studios;0.66;0.02;0.03;0.06;0.77;81.0;75.0;7.3;229.0;Rare Ltd.;M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
489;Marvel Nemesis: Rise of the Imperfects;PS2;2005;Fighting;Electronic Arts;0.64;0.02;0.0;0.1;0.77;53.0;30.0;6.3;46.0;EA Canada, Nihilistic;T;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
491;UFC Personal Trainer: The Ultimate Fitness System;X360;2011;Sports;THQ;0.53;0.18;0.0;0.06;0.77;70.0;36.0;6.5;15.0;THQ;E;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
493;Sonic Unleashed;Wii;2008;Platform;Sega;1.26;0.67;0.02;0.21;2.16;66.0;30.0;7.3;136.0;Sonic Team;E10+;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
498;Bayonetta 2;WiiU;2014;Action;Nintendo;0.32;0.28;0.1;0.06;0.76;91.0;80.0;8.2;1217.0;PlatinumGames;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;M
500;Harry Potter and the Half-Blood Prince;Wii;2009;Action;Electronic Arts;0.28;0.39;0.0;0.08;0.75;60.0;35.0;6.0;8.0;EA Bright Light;E10+;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;M
501;Professor Layton and the Azran Legacy;3DS;2013;Puzzle;Nintendo;0.0;0.48;0.25;0.03;0.75;81.0;58.0;7.9;86.0;Level 5;E10+;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
503;Drawn to Life: The Next Chapter;Wii;2009;Puzzle;THQ;0.28;0.39;0.0;0.08;0.75;58.0;22.0;6.0;8.0;Planet Moon Studios;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
504;SoulCalibur V;PS3;2012;Fighting;Namco Bandai Games;0.35;0.23;0.07;0.09;0.75;81.0;53.0;6.7;150.0;Project Soul;T;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;T
505;Zone of the Enders;PS2;2001;Shooter;Konami Digital Entertainment;0.3;0.24;0.13;0.08;0.75;78.0;21.0;7.4;49.0;KCEJ;M;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;T
507;Burnout;PS2;2001;Racing;Acclaim Entertainment;0.36;0.28;0.0;0.1;0.74;79.0;25.0;7.7;33.0;Criterion Games;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;ET
508;Red Faction: Guerrilla;X360;2009;Shooter;THQ;0.48;0.29;0.01;0.09;0.87;85.0;84.0;8.1;237.0;Volition Inc.;M;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
509;The Elder Scrolls V: Skyrim;X360;2011;Role-Playing;Bethesda Softworks;5.05;2.79;0.1;0.85;8.79;96.0;89.0;8.4;3589.0;Bethesda Game Studios;M;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;M
510;Tales of Vesperia;X360;2008;Role-Playing;Atari;0.32;0.17;0.19;0.05;0.74;79.0;67.0;8.2;264.0;Bandai Namco Games;T;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;T
511;LEGO Marvel Super Heroes;X360;2013;Action;Warner Bros. Interactive Entertainment;1.24;0.79;0.0;0.19;2.22;80.0;37.0;7.6;127.0;TT Games;E10+;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ET
